,seed,name_data,objective,prior_type,model,sigma_prior,pmin,learning_rate,momentum,learning_rate_prior,momentum_prior,delta,layers,delta_test,mc_samples,kl_penalty,train_epochs,verbose,device,prior_epochs,dropout_prob,perc_train,verbose_test,perc_prior,batch_size,Objective,Dataset,Sigma,LR,LR_prior,dropout,Obj_train,Risk_CE,Risk_01,KL,Train xe loss,Train 01 loss,Empirical xe risk,Empirical 01 risk,Stch loss,Stch 01 error,Post mean loss,Post mean 01 error,Ens loss,Ens 01 error,01 error prior net
30,5,mnist,fgrad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad,mnist,0.03,0.005,0.005,0.0,0.1714448630809784,0.1830269028711532,0.3885987446541805,0.0526130126953125,"tensor(0.0589, device='cuda:0')",0.2162910833333335,0.0703995921124196,0.2356383590808661,0.0591717027127742,0.2137,0.0402272790670394,0.1115,0.0016979634528979,0.1142999999999999,0.9354
31,5,mnist,fquad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad,mnist,0.03,0.005,0.005,0.0,0.2152013033628463,0.1890233024733779,0.4588752211276622,0.0326198201497395,"tensor(0.0831, device='cuda:0')",0.311284733333333,0.0964134735354697,0.3328570029781806,0.0838241800665855,0.3055,0.0522343404591083,0.1412,0.0022426003124564,0.157,0.9354
32,5,mnist,f_rts,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts,mnist,0.03,0.005,0.005,0.0,0.1563060283660888,0.184522770977942,0.3661294162954142,0.0650216267903645,"tensor(0.0501, device='cuda:0')",0.1818912499999999,0.0607722486976117,0.2000935330344838,0.0501605384051799,0.1781,0.0368315912783145,0.0978,0.0015070087974891,0.1008999999999999,0.9354
33,5,mnist,fgrad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,mnist,0.03,0.005,0.005,0.0,0.3290853500366211,0.216537977951073,0.3505882965991987,0.125733984375,"tensor(0.0321, device='cuda:0')",0.11443577,0.0408569232811496,0.1296332648091989,0.0320766009390354,0.1099,0.0271090921014547,0.0683,0.001127163413912,0.0725,0.9354
34,5,mnist,fquad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,mnist,0.03,0.005,0.005,0.0,0.4781215786933899,0.1967537760192537,0.3612739421038114,0.0840825276692708,"tensor(0.0443, device='cuda:0')",0.1577565266666666,0.0544574577378159,0.1750146398276501,0.0442577078938484,0.1518,0.0363174155354499,0.0970999999999999,0.0014023514231666,0.0973,0.9354
35,5,mnist,f_rts_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,mnist,0.03,0.005,0.005,0.0,0.3418499827384949,0.232128667810889,0.3528126500366584,0.1533569661458333,"tensor(0.0272, device='cuda:0')",0.0970271966666666,0.0353554407545151,0.1112213997723023,0.0273909121751785,0.0950999999999999,0.0239430051296949,0.059,0.0009990355465561,0.0626999999999999,0.9354
36,6,mnist,fgrad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad,mnist,0.03,0.005,0.005,0.0,0.1687681078910827,0.1800172598190932,0.3734208001225504,0.052390234375,"tensor(0.0572, device='cuda:0')",0.2035743299999994,0.0685195341641373,0.2225215829996155,0.0570129677653312,0.1987,0.0339690223336219,0.1079999999999999,0.0013960889773443,0.1066,0.9137
37,6,mnist,fquad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad,mnist,0.03,0.005,0.005,0.0,0.2117501497268676,0.1861355119080046,0.4409313588518577,0.0321183390299479,"tensor(0.0816, device='cuda:0')",0.2954274066666664,0.0948233137374343,0.3167115496026663,0.0822158679366111,0.2951,0.0476707033812999,0.1414999999999999,0.0020350869745016,0.1462,0.9137
38,6,mnist,f_rts,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts,mnist,0.03,0.005,0.005,0.0,0.1533263772726059,0.1815175384452685,0.3530258479346388,0.0649610595703125,"tensor(0.0483, device='cuda:0')",0.17123008,0.0588533236903339,0.1890309414883307,0.0479533001780509,0.1661,0.0299109909683465,0.0961999999999999,0.0011592379305511,0.0946,0.9137
39,6,mnist,fgrad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,mnist,0.03,0.005,0.005,0.0,0.3269241452217102,0.215335687508891,0.3478902108087145,0.125847216796875,"tensor(0.0314, device='cuda:0')",0.1124296366666666,0.0401336400956416,0.1275159695446914,0.031698603183031,0.1139999999999999,0.0201398152858018,0.0647999999999999,0.0007092016749083,0.0704,0.9137
